Absent,غائب
Total Advance Amount,إجمالي مبلغ السلفة
Total Advance Amount (Company Currency),إجمالي مبلغ السلفة (عملة الشركة)
Total Amount,المبلغ الإجمالي
Total Amount Reimbursed,إجمالي المبلغ المستردّ
Total Asset Recovery Cost,إجمالي تكلفة استرداد الأصول
Total Claimed Amount,إجمالي المبلغ المطالب به
Total Claimed Amount (Company Currency),إجمالي المبلغ المطالب به (عملة الشركة)
Total Estimated Budget,إجمالي الميزانية المقدرة
Total Estimated Cost,إجمالي التكلفة المقدرة
Total Exchange Gain/Loss,إجمالي ربح/خسارة الصرف
Total Goal Score,إجمالي نقاط الأهداف
Total Leave Days,إجمالي أيام الإجازة
Total Leaves Allocated,إجمالي الإجازات المخصصة
Total Leaves Encashed,إجمالي الإجازات المصروفة
Total Overtime Duration,إجمالي مدة العمل الإضافي
Total Payable Amount,إجمالي المبلغ المستحق
Total Receivable Amount,إجمالي المبلغ المستحق القبض
Total Sanctioned Amount,إجمالي المبلغ المعتمد
Total Sanctioned Amount (Company Currency),إجمالي المبلغ المعتمد (عملة الشركة)
Total Score,النقاط الإجمالية
Total Self Score,النقاط الذاتية الإجمالية
Total Taxes and Charges,إجمالي الضرائب والرسوم
Total Taxes and Charges (Company Currency),إجمالي الضرائب والرسوم (عملة الشركة)
Totals,الإجماليات
Trainer Email,البريد الإلكتروني للمدرب
Trainer Name,اسم المدرب
Training,التدريب
Training Date,تاريخ التدريب
Training Event,حدث التدريب
Training Program,برنامج التدريب
Trainings,التدريبات
Transaction Date,تاريخ المعاملة
Transaction Name,اسم المعاملة
Transaction Type,نوع المعاملة
Transfer Date,تاريخ النقل
Travel Advance Required,السلفة المطلوبة للسفر
Travel From,السفر من
Travel Funding,تمويل السفر
Travel Itinerary,جدول الرحلة
Travel To,السفر إلى
Travel Type,نوع السفر
Tuesday,الثلاثاء
Type,النوع
Unclaimed Amount,المبلغ غير المطالب به
Unclaimed Amount (Company Currency),المبلغ غير المطالب به (عملة الشركة)
Unpaid,غير مدفوع
Upcoming Holidays,العطل القادمة
Upcoming Shifts,الورديات القادمة
Update Expense,تحديث المصروف
Update Tax,تحديث الضريبة
Upload HTML,رفع HTML
Upload images or documents,رفع صور أو مستندات
Uploading...,جارٍ الرفع...
Upper Range,الحد الأقصى
User,المستخدم
Users,المستخدمون
Vacancies,الشواغر
Value / Description,القيمة / الوصف
Vehicle Log,سجل المركبة
Verify,تحقق
View All,عرض الكل
View Leave History,عرض سجل الإجازات
View List,عرض القائمة
View Salary Slips,عرض قسائم الراتب
Wednesday,الأربعاء
Weekend Multiplier,مضاعف عطلة الأسبوع
Weightage (%),الوزن النسبي (%)
Why is this Candidate Qualified for this Position?,لماذا هذا المرشح مؤهل لهذا المنصب؟
Work Anniversaries,ذكريات العمل السنوية
Work End Date,تاريخ انتهاء العمل
Work From Date,تاريخ بداية العمل
Work From Home,العمل من المنزل
Work References,مراجع العمل
Worked On Holiday,العمل في العطلة
Working Hours,ساعات العمل
Working Hours Calculation Based On,احتساب ساعات العمل بناءً على
Working Hours Threshold for Absent,حد ساعات العمل للغياب
Working Hours Threshold for Half Day,حد ساعات العمل لنصف اليوم
Year To Date,من بداية العام حتى الآن
Yes,نعم
You have no advances,ليس لديك سلف
You have no leaves allocated,لم يتم تخصيص إجازات لك
You have no notifications,ليس لديك إشعارات
You have no requests,ليس لديك طلبات
You have no upcoming holidays,ليس لديك عطل قادمة
You have no upcoming shifts,ليس لديك ورديات قادمة
Your password has expired. Please reset your password to continue,انتهت صلاحية كلمة المرور. يرجى إعادة تعيينها للمتابعة
"From Date" can not be greater than or equal to "To Date","من تاريخ" لا يمكن أن يكون أكبر من أو يساوي "إلى تاريخ"
cancellation,إلغاء
cancelled,ملغى
submission,تقديم
submitted,مقدم
{0} Unread,{0} غير مقروء
{0} balance,رصيد {0}
